,t (s),Torsion 2nd derivative (deg/s^2)
4151,0.830366073214643,107.62757340637859
4152,0.8305661132226445,78.51955953284072
4153,0.8307661532306462,49.933911586297256
4154,0.8309661932386477,21.16148283907649
4155,0.8311662332466493,-7.693131616475233
4156,0.831366273254651,-36.36852165398212
4157,0.8315663132626525,-65.08103889033403
4158,0.8317663532706542,-93.17612983392621
4159,0.8319663932786557,-121.72424397592846
4160,0.8321664332866573,-150.01017710942537
4161,0.832366473294659,-178.0554308855734
4162,0.8325665133026605,-205.77523125071238
4163,0.8327665533106622,-233.23981261590686
4164,0.8329665933186637,-260.28247132465117
4165,0.8331666333266653,-286.7483745045085
4166,0.833366673334667,-312.31701491070453
4167,0.8335667133426685,-338.1205929384238
4168,0.8337667533506702,-363.0445798990203
4169,0.8339667933586717,-387.01117859850035
4170,0.8341668333666733,-410.57444243877666
4171,0.834366873374675,-433.77465732658385
4172,0.8345669133826765,-456.0892797150527
4173,0.8347669533906782,-477.2799628189544
4174,0.8349669933986797,-497.7518171282889
4175,0.8351670334066813,-517.4979589637844
4176,0.835367073414683,-536.744230580361
4177,0.8355671134226845,-554.4548503631657
4178,0.8357671534306862,-571.7371558746495
4179,0.8359671934386878,-587.9865087938157
4180,0.8361672334466893,-603.1843104194458
4181,0.836367273454691,-617.5020317457024
4182,0.8365673134626925,-630.8043482859333
4183,0.8367673534706941,-643.0679677295286
4184,0.8369673934786958,-653.9323062754682
4185,0.8371674334866973,-664.1465647751601
4186,0.837367473494699,-673.0386951422826
4187,0.8375675135027005,-681.0197813374308
4188,0.8377675535107021,-687.8655944220528
4189,0.8379675935187038,-693.4859951235785
4190,0.8381676335267053,-698.0294029627673
4191,0.838367673534707,-701.2479431359434
4192,0.8385677135427085,-703.6077379971497
4193,0.8387677535507101,-704.8740411906955
4194,0.8389677935587118,-704.7305915494497
4195,0.8391678335667133,-703.6300614163611
4196,0.839367873574715,-701.2384294173138
4197,0.8395679135827165,-697.7110931071744
4198,0.8397679535907181,-692.9955260065974
4199,0.8399679935987198,-687.5055467439533
4200,0.8401680336067213,-680.6529838638131
4201,0.840368073614723,-672.7859755553403
4202,0.8405681136227245,-663.7717459114072
